Organizations-Enhanced	records	% of 168316
UNITED STATES DEPARTMENT OF ENERGY DOE	15319	9.101
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	12019	7.141
UNIVERSITY OF CALIFORNIA SYSTEM	8206	4.875
MAX PLANCK SOCIETY	6456	3.836
RUSSIAN ACADEMY OF SCIENCES	4533	2.693
UNIVERSITY OF TOKYO	4122	2.449
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	3238	1.924
UNIVERSITY OF CHICAGO	3123	1.855
CHINESE ACADEMY OF SCIENCES	3090	1.836
UNIVERSITY OF ILLINOIS SYSTEM	2961	1.759
CEA	2820	1.675
LOS ALAMOS NATIONAL LABORATORY	2688	1.597
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	2644	1.571
ARGONNE NATIONAL LABORATORY	2598	1.544
UNIVERSITY OF CALIFORNIA BERKELEY	2579	1.532
OAK RIDGE NATIONAL LABORATORY	2446	1.453
INTERNATIONAL BUSINESS MACHINES IBM	2394	1.422
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	2393	1.422
FLORIDA STATE UNIVERSITY SYSTEM	2322	1.380
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	2279	1.354
TOHOKU UNIVERSITY	2227	1.323
UNITED STATES DEPARTMENT OF DEFENSE	2192	1.302
UNIVERSITY OF PARIS SUD PARIS XI	2105	1.251
LAWRENCE BERKELEY NATIONAL LABORATORY	2078	1.235
BROOKHAVEN NATIONAL LABORATORY	2013	1.196
IOWA STATE UNIVERSITY	2008	1.193
AMES NATIONAL LABORATORY	1979	1.176
AT T	1819	1.081
UNIVERSITY OF CALIFORNIA SANTA BARBARA	1794	1.066
UNIVERSITY OF CAMBRIDGE	1737	1.032
SWISS FEDERAL INSTITUTE OF TECHNOLOGY ZURICH	1707	1.014
UNITED STATES NAVY	1700	1.010
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	1656	0.984
UNIVERSITY OF MARYLAND COLLEGE PARK	1635	0.971
JAPAN SCIENCE TECHNOLOGY AGENCY JST	1623	0.964
STANFORD UNIVERSITY	1548	0.920
NATIONAL INSTITUTE OF STANDARDS TECHNOLOGY NIST USA	1534	0.911
KARLSRUHE INSTITUTE OF TECHNOLOGY	1530	0.909
NAVAL RESEARCH LABORATORY	1517	0.901
CORNELL UNIVERSITY	1487	0.883
PIERRE MARIE CURIE UNIVERSITY PARIS 6	1451	0.862
JOSEPH FOURIER UNIVERSITY	1445	0.859
POLISH ACADEMY OF SCIENCE	1442	0.857
KYOTO UNIVERSITY	1430	0.850
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	1411	0.838
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE TECHNOLOGY AIST	1399	0.831
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE	1377	0.818
OSAKA UNIVERSITY	1376	0.818
HELMHOLTZ ASSOCIATION	1375	0.817
PRINCETON UNIVERSITY	1332	0.791
HARVARD UNIVERSITY	1324	0.787
UNIVERSITY OF OXFORD	1306	0.776
