Organizations-Enhanced	records	% of 114189
UNITED STATES DEPARTMENT OF ENERGY DOE	13906	12.178
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	9490	8.311
UNIVERSITY OF CALIFORNIA SYSTEM	8778	7.687
MAX PLANCK SOCIETY	4865	4.260
UNIVERSITY OF CHICAGO	4106	3.596
UNIVERSITY OF CALIFORNIA BERKELEY	3384	2.964
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	3347	2.931
LAWRENCE BERKELEY NATIONAL LABORATORY	3109	2.723
CEA	2993	2.621
UNIVERSITY OF ILLINOIS SYSTEM	2695	2.360
UNIVERSITY OF TOKYO	2689	2.355
HARVARD UNIVERSITY	2608	2.284
PRINCETON UNIVERSITY	2554	2.237
LOS ALAMOS NATIONAL LABORATORY	2514	2.202
RUSSIAN ACADEMY OF SCIENCES	2449	2.145
ARGONNE NATIONAL LABORATORY	2421	2.120
UNIVERSITY OF MARYLAND COLLEGE PARK	2302	2.016
FLORIDA STATE UNIVERSITY SYSTEM	2244	1.965
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	2177	1.906
BROOKHAVEN NATIONAL LABORATORY	2113	1.850
ISTITUTO NAZIONALE DI FISICA NUCLEARE	2107	1.845
STANFORD UNIVERSITY	2102	1.841
UNIVERSITY OF CALIFORNIA LOS ANGELES	1983	1.737
PIERRE MARIE CURIE UNIVERSITY PARIS 6	1974	1.729
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	1957	1.714
UNIVERSITY OF PARIS SUD PARIS XI	1921	1.682
UNIVERSITY OF CALIFORNIA SANTA BARBARA	1912	1.674
UNIVERSITY SYSTEM OF MARYLAND	1875	1.642
UNIVERSITY OF WISCONSIN SYSTEM	1828	1.601
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	1721	1.507
UNIVERSITY OF ROCHESTER	1708	1.496
CALIFORNIA INSTITUTE OF TECHNOLOGY	1704	1.492
UNIVERSITY OF WISCONSIN MADISON	1678	1.469
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	1675	1.467
OAK RIDGE NATIONAL LABORATORY	1672	1.464
INTERNATIONAL BUSINESS MACHINES IBM	1623	1.421
LAWRENCE LIVERMORE NATIONAL LABORATORY	1608	1.408
CHINESE ACADEMY OF SCIENCES	1592	1.394
YALE UNIVERSITY	1588	1.391
UNIVERSITY OF CALIFORNIA SAN DIEGO	1572	1.377
CORNELL UNIVERSITY	1560	1.366
UNIVERSITY OF MICHIGAN SYSTEM	1551	1.358
UNIVERSITY OF MICHIGAN	1544	1.352
UNIVERSITY OF OXFORD	1524	1.335
RUTGERS STATE UNIVERSITY	1507	1.320
OHIO STATE UNIVERSITY	1490	1.305
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	1480	1.296
FERMI NATIONAL ACCELERATOR LABORATORY	1453	1.272
UNIVERSITY OF PENNSYLVANIA	1438	1.259
AT T	1434	1.256
UNIVERSITY OF CAMBRIDGE	1420	1.244
UNIVERSITY OF COLORADO SYSTEM	1405	1.230
NATIONAL INSTITUTE OF STANDARDS TECHNOLOGY NIST USA	1404	1.230
UNIVERSITY OF COLORADO BOULDER	1378	1.207
IMPERIAL COLLEGE LONDON	1351	1.183
MICHIGAN STATE UNIVERSITY	1345	1.178
PURDUE UNIVERSITY SYSTEM	1342	1.175
PURDUE UNIVERSITY	1338	1.172
SAPIENZA UNIVERSITY ROME	1307	1.145
TEXAS A M UNIVERSITY SYSTEM	1287	1.127
HELMHOLTZ ASSOCIATION	1253	1.097
UNIVERSITY OF TEXAS AUSTIN	1224	1.072
NORTHWESTERN UNIVERSITY	1210	1.060
UNIVERSITY OF WASHINGTON	1190	1.042
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	1186	1.039
UNIVERSITY OF WASHINGTON SEATTLE	1185	1.038
WEIZMANN INSTITUTE OF SCIENCE	1180	1.033
UNIVERSITY OF LONDON	1172	1.026
KARLSRUHE INSTITUTE OF TECHNOLOGY	1164	1.019
SWISS FEDERAL INSTITUTE OF TECHNOLOGY ZURICH	1154	1.011
COLUMBIA UNIVERSITY	1143	1.001
TOHOKU UNIVERSITY	1133	0.992
TEXAS A M UNIVERSITY COLLEGE STATION	1123	0.983
IOWA STATE UNIVERSITY	1109	0.971
UNIVERSITY OF BRITISH COLUMBIA	1105	0.968
JOSEPH FOURIER UNIVERSITY	1098	0.962
PRES UNIVERSITY SORBONNE PARIS CITE	1096	0.960
KYOTO UNIVERSITY	1061	0.929
MCGILL UNIVERSITY	1056	0.925
RIKEN	1038	0.909
UNIVERSITY OF CALIFORNIA DAVIS	1034	0.906
FLORIDA STATE UNIVERSITY	1027	0.899
UNITED STATES DEPARTMENT OF DEFENSE	1025	0.898
UNIVERSITY OF PARIS DIDEROT PARIS VII	1024	0.897
ECOLE POLYTECHNIQUE	1011	0.885
JOHNS HOPKINS UNIVERSITY	1010	0.884
OSAKA UNIVERSITY	990	0.867
HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION KEK	988	0.865
UNIVERSITY OF MINNESOTA TWIN CITIES	984	0.862
UNIVERSITY OF MINNESOTA SYSTEM	984	0.862
BOSTON UNIVERSITY	984	0.862
UNIVERSITY OF TENNESSEE SYSTEM	983	0.861
UNIVERSITY OF TENNESSEE KNOXVILLE	980	0.858
STFC RUTHERFORD APPLETON LABORATORY	978	0.856
UNIVERSITY OF FLORIDA	975	0.854
JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA	965	0.845
UNIVERSITY OF TORONTO	951	0.833
UNIVERSITY OF TSUKUBA	940	0.823
ECOLE NORMALE SUPERIEURE ENS PARIS	940	0.823
UNIVERSITY OF PADUA	935	0.819
UNIVERSITY OF MUNICH	927	0.812
INDIANA UNIVERSITY SYSTEM	925	0.810
UNIVERSITY OF PISA	915	0.801
UNIVERSITY OF GENEVA	913	0.800
SEOUL NATIONAL UNIVERSITY	907	0.794
STANFORD LINEAR ACCELERATOR CENTER	906	0.793
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE	906	0.793
NATIONAL RESEARCH CENTRE KURCHATOV INSTITUTE	900	0.788
INDIANA UNIVERSITY BLOOMINGTON	893	0.782
ALIKHANOV INSTITUTE FOR THEORETICAL EXPERIMENTAL PHYSICS	882	0.772
UNIVERSITY OF CALIFORNIA IRVINE	856	0.750
JAPAN SCIENCE TECHNOLOGY AGENCY JST	854	0.748
DUKE UNIVERSITY	852	0.746
UNITED STATES NAVY	851	0.745
UNIVERSITY OF MASSACHUSETTS SYSTEM	849	0.744
UNIVERSITY OF PITTSBURGH	842	0.737
JOHANNES GUTENBERG UNIVERSITY OF MAINZ	835	0.731
UNIVERSITY OF NOTRE DAME	826	0.723
CARNEGIE MELLON UNIVERSITY	817	0.715
UNIVERSITY OF CALIFORNIA RIVERSIDE	809	0.708
UNIVERSITY OF VIRGINIA	804	0.704
UNIVERSITY OF ARIZONA	799	0.700
SCUOLA NORMALE SUPERIORE DI PISA	792	0.694
UNIVERSITY OF MASSACHUSETTS AMHERST	789	0.691
TECHNICAL UNIVERSITY OF MUNICH	786	0.688
UNIVERSITY OF MANCHESTER	781	0.684
UNIVERSITY OF EDINBURGH	778	0.681
UNIVERSITY OF LIVERPOOL	772	0.676
TEL AVIV UNIVERSITY	769	0.673
RUPRECHT KARL UNIVERSITY HEIDELBERG	763	0.668
UNIVERSITY OF AIX MARSEILLE	759	0.665
UNIVERSITY OF SCIENCE TECHNOLOGY OF CHINA	754	0.660
JULICH RESEARCH CENTER	744	0.652
INSTITUTE OF HIGH ENERGY PHYSICS IHEP	741	0.649
NAVAL RESEARCH LABORATORY	740	0.648
PENN STATE UNIVERSITY	736	0.645
RICE UNIVERSITY	733	0.642
PRES UNIVERSITY OF LYON	701	0.614
TOKYO INSTITUTE OF TECHNOLOGY	696	0.610
UNIVERSITY COLLEGE LONDON	695	0.609
LOMONOSOV MOSCOW STATE UNIVERSITY	685	0.600
UNIVERSITY OF CLAUDE BERNARD LYON 1	678	0.594
VANDERBILT UNIVERSITY	673	0.589
UNIVERSITY OF BRISTOL	672	0.588
UNIVERSITY OF NEW MEXICO	668	0.585
BROWN UNIVERSITY	661	0.579
NAGOYA UNIVERSITY	659	0.577
UNIVERSITY SYSTEM OF GEORGIA	658	0.576
OREGON UNIVERSITY SYSTEM	656	0.574
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY	653	0.572
INSTITUTE LAUE LANGEVIN	645	0.565
ACADEMIA SINICA TAIWAN	644	0.564
UNIVERSITY OF TRIESTE	643	0.563
TATA INSTITUTE OF FUNDAMENTAL RESEARCH	639	0.560
UNIVERSITY OF COPENHAGEN	638	0.559
SUNGKYUNKWAN UNIVERSITY	638	0.559
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH CERN	638	0.559
PETERSBURG NUCLEAR PHYSICS INSTITUTE	635	0.556
BELL TEL LABS INC	625	0.547
UPPSALA UNIVERSITY	621	0.544
UNIVERSITY OF MILAN	619	0.542
UNIVERSITY OF BOLOGNA	619	0.542
UNIVERSITY OF HAMBURG	615	0.539
UNIVERSITY OF CINCINNATI	605	0.530
ROCKEFELLER UNIVERSITY	604	0.529
PAUL SCHERRER INSTITUTE	600	0.525
AUTONOMOUS UNIVERSITY OF MADRID	598	0.524
KOREA UNIVERSITY	596	0.522
LUND UNIVERSITY	594	0.520
UNIVERSITY OF ZURICH	593	0.519
SANDIA NATIONAL LABORATORY	593	0.519
WAYNE STATE UNIVERSITY	592	0.518
RUHR UNIVERSITY BOCHUM	590	0.517
NORTHEASTERN UNIVERSITY	590	0.517
UNIVERSITY OF BIRMINGHAM	589	0.516
GOETHE UNIVERSITY FRANKFURT	584	0.511
HUNGARIAN ACADEMY OF SCIENCES	581	0.509
UNIVERSITY OF OREGON	579	0.507
OSAKA CITY UNIVERSITY	577	0.505
UNIVERSITY OF GLASGOW	573	0.502
CZECH ACADEMY OF SCIENCES	567	0.497
KYUNGPOOK NATIONAL UNIVERSITY	564	0.494
FOM NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS	564	0.494
POLISH ACADEMY OF SCIENCE	557	0.488
NIELS BOHR INSTITUTE	554	0.485
UNIVERSITY OF AMSTERDAM	546	0.478
UNIVERSIDADE DE SAO PAULO	544	0.476
UNIVERSITY OF FREIBURG	540	0.473
UNIVERSITY OF HAWAII SYSTEM	538	0.471
FREE UNIVERSITY OF BERLIN	537	0.470
UNIVERSITY OF STRASBOURG	534	0.468
UNIVERSITY OF KANSAS	534	0.468
DRESDEN UNIVERSITY OF TECHNOLOGY	533	0.467
RWTH AACHEN UNIVERSITY	531	0.465
TUFTS UNIVERSITY	530	0.464
UNIVERSITY OF NORTH CAROLINA	525	0.460
UNIVERSITY OF ILLINOIS CHICAGO	518	0.454
CALIFORNIA STATE UNIVERSITY SYSTEM	518	0.454
PANJAB UNIVERSITY	515	0.451
UNIVERSITY OF COLOGNE	513	0.449
SIMON FRASER UNIVERSITY	510	0.447
BRANDEIS UNIVERSITY	506	0.443
HEBREW UNIVERSITY OF JERUSALEM	505	0.442
UNIVERSITY OF CALIFORNIA SANTA CRUZ	500	0.438
EUROPEAN SYNCHROTRON RADIAT FACIL	495	0.433
LEIDEN UNIVERSITY	492	0.431
AMES NATIONAL LABORATORY	492	0.431
AARHUS UNIVERSITY	492	0.431
KANSAS STATE UNIVERSITY	491	0.430
HIROSHIMA UNIVERSITY	491	0.430
WASEDA UNIVERSITY	490	0.429
UNIVERSITY OF IOWA	490	0.429
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE TECHNOLOGY AIST	490	0.429
UNIVERSITY OF MISSISSIPPI	489	0.428
SYRACUSE UNIVERSITY	483	0.423
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY	481	0.421
RADBOUD UNIVERSITY NIJMEGEN	481	0.421
NEW YORK UNIVERSITY	478	0.419
UNIVERSITY OF HELSINKI	476	0.417
UNIVERSITY OF OKLAHOMA	475	0.416
AUSTRALIAN NATIONAL UNIVERSITY	474	0.415
STATE UNIVERSITY OF NEW YORK SUNY ALBANY	473	0.414
PEKING UNIVERSITY	473	0.414
UNIVERSITY OF INNSBRUCK	470	0.412
ROYAL INSTITUTE OF TECHNOLOGY	468	0.410
JOZEF STEFAN INSTITUTE	468	0.410
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	468	0.410
AUTONOMOUS UNIVERSITY OF BARCELONA	466	0.408
UNIVERSITY OF GENOA	462	0.405
EURATOM	461	0.404
UNIVERSITY OF GRONINGEN	456	0.399
UNIVERSITY OF NAPLES FEDERICO II	455	0.398
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL	455	0.398
UNIVERSITY OF WARWICK	454	0.398
UNIVERSITY OF WARSAW	452	0.396
PRINCETON PHYSICS LABORATORY	452	0.396
UNIVERSITY OF BONN	451	0.395
UNIVERSITY OF BARCELONA	451	0.395
CENTRO BRASILEIRO DE PESQUISAS FISICAS	451	0.395
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	446	0.391
DORTMUND UNIVERSITY OF TECHNOLOGY	444	0.389
CHARLES UNIVERSITY PRAGUE	442	0.387
UNIVERSITY OF NEBRASKA SYSTEM	438	0.384
UNIVERSITY OF NEBRASKA LINCOLN	438	0.384
UNIVERSITY OF SOUTH CAROLINA	431	0.377
